Sort,X2,X3,X4,X5,X6,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
217,853811,2/23/2009,Congressman James Howe,"GAO-09-43 ' NONPROLIFERATION: U.S. Agencies Have Taken Some Steps, but More Effort is Needed to Strengthen and Expand the Proliferation Security Initiative",,,,,,,,,,,
218,853819,2/24/2009,Congressman James Howe,GAO-09-29 DHS Billions Invested in Major Programs Lack Appropriate Oversight,,,,,,,,,,,
219,853705,1/19/2010,Congressman Steny H. Hoyer,"<bif6i    and his wife seek to have their names removed from the ""no fly"" list.",,,,,,,,,,,
220,852862,1/11/2010,Congressman Duncan Hunter,{b)<61    is requesting status of 1-601 for her husbandpX6> (b)(6),,,,,,,,,,,
221,853148,1/12/2010,Congressman Kay Bailey Hutchison,Constituent    writes about acts of discrimination against him by fellow federal employees,,,,,,,,,,,
222,,,,,,,,,,,,,,,
223,852663,1/8/2010,Congressman Darrell Issa,filed 1-601 waiver for husband.(b)(6J (b)(6),,,,,,,,,,,
224,852823,1/9/2010,Congressman Darrell Issa,ts reauesting status of his N-400. Also states that he believes delays are because he is target of racial profiling by USCIS.,,,,,,,,,,,
225,853733,1/19/2010,Congressman Darrell Issa,Status of an 1-601,,,,,,,,,,,
226,853736,1/19/2010,Congressman Darrell Issa,Status on a 1-601,,,,,,,,,,,
227,854264,1/25/2010,Congressman Sheila Jackson Lee,Requests that DHS develop and implement an interagency response to protect Haitian orphans affected by the disaster,,,,,,,,,,,
228,853747,1/19/2010,Senator Mike Johanns,Requests guidance as to the next appropriate steps to be taken by families adopting Haitian orphans and how to expedite the protection of these children.,,,,,,,,,,,
229,853742,1/19/2010,Congressman Eddie Bernice Bernice Johnson,Writes on behalf of constituent(b)(6)    regarding alleged child trafficking.,,,,,,,,,,,
230,852793,1/8/2010,Congressman Walter B. Jones,(b)(6)    filed 1-601 for her husband<b)(6),,,,,,,,,,,
231,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,
233,852956,1/11/2010,Congressman Walter B. Jones,is requesting status of 1-601.,,,,,,,,,,,
234,853417,1/14/2010,Congressman Walter B. Jones,Ib>(6>    regarding his citizenship papers,,,,,,,,,,,
235,853451,1/14/2010,Congressman Walter B. Jones,"Reps. Jones, Poe, and Hunter write regarding the protection of ICE informants and request a briefing on the case of <b)(6> (b)(6)",,,,,,,,,,,
236,853675,1/19/2010,Congressman Steven L. Kagen,Writes with concerns regarding the pending adoptions of Haitian children by American families.,,,,,,,,,,,
237,854697,1/28/2010,Congressman Peter T. King,The status of a Form 1-601 Application,,,,,,,,,,,
238,854135,1/22/2010,Congressman Steve King,Westat Report on E-Verify,,,,,,,,,,,
239,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,
241,852806,1/9/2010,Congressman Mark Steven Kirk,(b)(6)    is requesting status of 1-601.,,,,,,,,,,,
242,853699,1/19/2010,Congressman Mark Steven Kirk,(b)(6)    :oncering amending his N-550,,,,,,,,,,,
243,852152,1/4/2010,Congressman Paul Kirk,(bX0l    regarding an 1-601,,,,,,,,,,,
